"","County Name","District Name","School Name"
"1","State","",""
"2","Alameda","",""
"3","Alameda","Alameda County Office of Education","District Office"
"4","Alameda","Alameda Unified","District Office"
"5","Alameda","Albany City Unified","District Office"
"6","Alameda","Berkeley Unified","District Office"
"7","Alameda","California School for the Blind (State Special Schl)","District Office"
"8","Alameda","California School for the Deaf-Fremont (State Special Schl)","District Office"
"9","Alameda","Castro Valley Unified","District Office"
"10","Alameda","Dublin Unified","District Office"
"11","Alameda","Emery Unified","District Office"
"12","Alameda","Fremont Unified","District Office"
"13","Alameda","Hayward Unified","District Office"
"14","Alameda","Livermore Valley Joint Unified","District Office"
"15","Alameda","Mountain House Elementary","District Office"
"16","Alameda","New Haven Unified","District Office"
"17","Alameda","Newark Unified","District Office"
"18","Alameda","Oakland Unified","District Office"
"19","Alameda","Piedmont City Unified","District Office"
"20","Alameda","Pleasanton Unified","District Office"
"21","Alameda","San Leandro Unified","District Office"
"22","Alameda","San Lorenzo Unified","District Office"
"23","Alameda","SBE - Latitude 37.8 High","District Office"
"24","Alameda","Sunol Glen Unified","District Office"
"25","Alameda","Alameda County Office of Education","Alameda County Community"
"26","Alameda","Alameda County Office of Education","Alameda County Juvenile Hall/Court"
"27","Alameda","Alameda County Office of Education","Alternatives in Action"
"28","Alameda","Alameda County Office of Education","Aurum Preparatory Academy"
"29","Alameda","Alameda County Office of Education","Community School for Creative Education"
"30","Alameda","Alameda County Office of Education","Connecting Waters Charter - East Bay"
"31","Alameda","Alameda County Office of Education","Cox Academy"
"32","Alameda","Alameda County Office of Education","Envision Academy for Arts & Technology"
"33","Alameda","Alameda County Office of Education","Hayward Collegiate Charter"
"34","Alameda","Alameda County Office of Education","Lazear Charter Academy"
"35","Alameda","Alameda County Office of Education","Oakland Unity Middle"
"36","Alameda","Alameda County Office of Education","Opportunity Academy"
"37","Alameda","Alameda County Office of Education","Urban Montessori Charter"
"38","Alameda","Alameda County Office of Education","Yu Ming Charter"
"39","Alameda","Alameda Unified","Alameda Community Learning Center"
"40","Alameda","Alameda Unified","Alameda High"
"41","Alameda","Alameda Unified","Alameda Science and Technology Institute"
"42","Alameda","Alameda Unified","Amelia Earhart Elementary"
"43","Alameda","Alameda Unified","Bay Farm"
"44","Alameda","Alameda Unified","Edison Elementary"
"45","Alameda","Alameda Unified","Encinal Junior/Senior High"
"46","Alameda","Alameda Unified","Frank Otis Elementary"
"47","Alameda","Alameda Unified","Franklin Elementary"
