"","acad_year","county_code","district_code","school_code","county_name","district_name","school_name","reporting_category","lat","long","avg_days_absent","avg_days_absent_absolute","eligible_cumulative_enrollment","count_students_any_absence","total_days_absent","excused_absence_cnt","unexcused_absence_cnt","avg_max_temp","num_hot_day_35","num_hot_day_95","num_hot_day_35_95","num_hot_day_both"
"1","2021-22",1,10017,130419,"Alameda","Alameda County Office of Education","Alameda County Community","TA",37.658212,-122.09713,"43.0",41.5280898876404,"89","86","3696.0","560.0","728.0",18.8413423030866,0,10,10,0
"2","2021-22",1,10017,130401,"Alameda","Alameda County Office of Education","Alameda County Juvenile Hall/Court","TA",37.712878,-122.11173,"12.8",12.5648148148148,"108","106","1357.0","1067.0","288.0",18.8413423030866,0,10,10,0
"3","2021-22",1,10017,130625,"Alameda","Alameda County Office of Education","Alternatives in Action","TA",37.764464,-122.1954,"20.0",19.3793103448276,"174","169","3372.0","800.0","2572.0",18.8413423030866,0,10,10,0
"4","2021-22",1,10017,137448,"Alameda","Alameda County Office of Education","Aurum Preparatory Academy","TA",37.758631,-122.19604,"13.7",12.4943820224719,"178","162","2224.0","43.0","2161.0",18.8413423030866,0,10,10,0
"5","2021-22",1,10017,123968,"Alameda","Alameda County Office of Education","Community School for Creative Education","TA",37.784648,-122.23863,"25.2",25.218009478673,"211","211","5321.0","1904.0","3415.0",18.8413423030866,0,10,10,0
"6","2021-22",1,10017,136101,"Alameda","Alameda County Office of Education","Connecting Waters Charter - East Bay","TA",37.603623,-122.0253,"3.8",0.0924214417744917,"541","13","50.0","0.0","0.0",18.8413423030866,0,10,10,0
"7","2021-22",1,10017,6001788,"Alameda","Alameda County Office of Education","Cox Academy","TA",37.746513,-122.16182,"18.2",17.8876404494382,"534","526","9552.0","4111.0","4808.0",18.8413423030866,0,10,10,0
"8","2021-22",1,10017,112607,"Alameda","Alameda County Office of Education","Envision Academy for Arts & Technology","TA",37.80452,-122.26815,"22.5",21.760663507109,"422","409","9183.0","3298.0","5615.0",18.8413423030866,0,10,10,0
"9","2021-22",1,10017,138867,"Alameda","Alameda County Office of Education","Hayward Collegiate Charter","TA",37.648124,-122.08239,"8.1",7.82142857142857,"140","136","1095.0","97.0","997.0",18.8413423030866,0,10,10,0
"10","2021-22",1,10017,6002000,"Alameda","Alameda County Office of Education","Lazear Charter Academy","TA",37.776239,-122.23207,"14.5",14.0146443514644,"478","461","6699.0","4869.0","1735.0",18.8413423030866,0,10,10,0
"11","2021-22",1,10017,131581,"Alameda","Alameda County Office of Education","Oakland Unity Middle","TA",37.759123,-122.19094,"13.6",12.7345132743363,"113","106","1439.0","835.0","588.0",18.8413423030866,0,10,10,0
"12","2021-22",1,10017,136226,"Alameda","Alameda County Office of Education","Opportunity Academy","TA",37.65851,-122.09834,"39.3",27.1253644314869,"343","237","9304.0","10.0","0.0",18.8413423030866,0,10,10,0
"13","2021-22",1,10017,125567,"Alameda","Alameda County Office of Education","Urban Montessori Charter","TA",37.786794,-122.18817,"16.7",16.465564738292,"363","358","5977.0","2299.0","3183.0",18.8413423030866,0,10,10,0
"14","2021-22",1,10017,124172,"Alameda","Alameda County Office of Education","Yu Ming Charter","TA",37.847375,-122.28356,"3.3",2.36350148367953,"674","486","1593.0","937.0","653.0",18.8413423030866,0,10,10,0
"15","2021-22",1,61119,130609,"Alameda","Alameda Unified","Alameda Community Learning Center","TA",37.779051,-122.28703,"10.4",9.17260273972603,"365","321","3348.0","2333.0","978.0",18.8413423030866,0,10,10,0
"16","2021-22",1,61119,130229,"Alameda","Alameda Unified","Alameda High","TA",37.764958,-122.24593,"11.0",9.64801738185769,"1841","1615","17762.0","13366.0","4176.0",18.8413423030866,0,10,10,0
"17","2021-22",1,61119,106401,"Alameda","Alameda Unified","Alameda Science and Technology Institute","TA",37.780753,-122.2793,"6.9",5.55294117647059,"170","137","944.0","748.0","191.0",18.8413423030866,0,10,10,0
"18","2021-22",1,61119,6100374,"Alameda","Alameda Unified","Amelia Earhart Elementary","TA",37.745289,-122.23928,"8.8",8.13286713286713,"572","526","4652.0","3823.0","806.0",18.8413423030866,0,10,10,0
"19","2021-22",1,61119,6110779,"Alameda","Alameda Unified","Bay Farm","TA",37.738998,-122.25195,"7.5",6.48704663212435,"579","501","3756.0","3238.0","492.0",18.8413423030866,0,10,10,0
"20","2021-22",1,61119,6090013,"Alameda","Alameda Unified","Edison Elementary","TA",37.765083,-122.23421,"9.9",9.39955357142857,"448","426","4211.0","3136.0","1012.0",18.8413423030866,0,10,10,0
"21","2021-22",1,61119,132142,"Alameda","Alameda Unified","Encinal Junior/Senior High","TA",37.772765,-122.289,"12.9",11.6538461538462,"1144","1034","13332.0","8770.0","4324.0",18.8413423030866,0,10,10,0
"22","2021-22",1,61119,6090021,"Alameda","Alameda Unified","Frank Otis Elementary","TA",37.754029,-122.23799,"8.8",8.3703071672355,"586","556","4905.0","3866.0","973.0",18.8413423030866,0,10,10,0
"23","2021-22",1,61119,6090039,"Alameda","Alameda Unified","Franklin Elementary","TA",37.769036,-122.2616,"10.0",9.38356164383562,"292","273","2740.0","2314.0","421.0",18.8413423030866,0,10,10,0
"24","2021-22",1,61119,134304,"Alameda","Alameda Unified","Island High (Continuation)","TA",37.776017,-122.2819,"73.4",73.4295918367347,"98","98","7196.1","856.7","6286.5",18.8413423030866,0,10,10,0
"25","2021-22",1,61119,6090054,"Alameda","Alameda Unified","Lincoln Middle","TA",37.752242,-122.23276,"7.9",6.68540669856459,"836","707","5589.0","4633.0","879.0",18.8413423030866,0,10,10,0
"26","2021-22",1,61119,6090047,"Alameda","Alameda Unified","Love Elementary","TA",37.769332,-122.25106,"13.2",12.8411405295316,"491","477","6305.0","4803.0","1487.0",18.8413423030866,0,10,10,0
"27","2021-22",1,61119,139220,"Alameda","Alameda Unified","Maya Lin","TA",37.772663,-122.27145,"10.7",10.2582056892779,"457","438","4688.0","3961.0","691.0",18.8413423030866,0,10,10,0
"28","2021-22",1,61119,119222,"Alameda","Alameda Unified","Nea Community Learning Center","TA",37.779051,-122.28703,"11.4",10.9366197183099,"568","547","6212.0","3425.0","2712.0",18.8413423030866,0,10,10,0
